Language,Family,Branch,First-language(L1) speakers,Second-language(L2) speakers,Total speakers(L1+L2)
English(excl. creole languages),Indo-European,Germanic,380 million,1.135 billion,1.515 billion
"Mandarin Chinese(incl. Standard Chinese, but excl. other varieties)",Sino-Tibetan,Sinitic,941 million,199 million,1.140 billion
Hindi(excl. Urdu),Indo-European,Indo-Aryan,345 million,264 million,609 million
Spanish(excl. creole languages),Indo-European,Romance,486 million,74 million,560 million
Modern Standard Arabic(excl. dialects),Afro-Asiatic,Semitic,0[a],332 million,332 million
French(excl. creole languages),Indo-European,Romance,74 million,238 million,312 million
Bengali,Indo-European,Indo-Aryan,237 million,41 million,278 million
Portuguese(excl. creole languages),Indo-European,Romance,236 million,27 million,264 million
Russian,Indo-European,Balto-Slavic,148 million,108 million,255 million
Urdu(excl. Hindi),Indo-European,Indo-Aryan,70 million,168 million,238 million
Indonesian(excl. other Malay),Austronesian,Malayo-Polynesian,44 million,155 million,199 million
Standard German,Indo-European,Germanic,76 million,58 million,134 million
Japanese,Japonic,—,123 million,<1 million,123 million
Nigerian Pidgin,English Creole,Krio,5 million,116 million,121 million
Egyptian Arabic(excl. other Arabic dialects),Afro-Asiatic,Semitic,78 million,25 million,103 million
Marathi,Indo-European,Indo-Aryan,83 million,16 million,99 million
Telugu,Dravidian,South-Central,83 million,13 million,96 million
Turkish,Turkic,Oghuz,84 million,6 million,90 million
Hausa,Afro-Asiatic,Chadic,54 million,34 million,88 million
Tamil,Dravidian,Southern,79 million,8 million,87 million
Yue Chinese(incl. Cantonese),Sino-Tibetan,Sinitic,86 million,1 million,87 million
Swahili,Niger–Congo,Bantu,3 million,83 million,87 million
Vietnamese,Austroasiatic,Vietic,85 million,1 million,86 million
Wu Chinese(incl. Shanghainese),Sino-Tibetan,Sinitic,83 million,<1 million,83 million
Tagalog[b],Austronesian,Malayo-Polynesian,29 million,54 million,83 million
Western Punjabi(excl. Eastern Punjabi),Indo-European,Indo-Aryan,—,—,82 million
Korean,Koreanic,—,81 million,<1 million,81 million
Iranian Persian(excl. other Persian dialects),Indo-European,Iranian,62 million,17 million,78 million
Javanese,Austronesian,Malayo-Polynesian,—,—,68 million
Italian,Indo-European,Romance,64 million,3 million,67 million
Gujarati,Indo-European,Indo-Aryan,58 million,5 million,63 million
Thai,Kra–Dai,Zhuang–Tai,21 million,40 million,61 million
Amharic,Afro-Asiatic,Semitic,35 million,25 million,60 million
Kannada,Dravidian,Southern,44 million,15 million,59 million
Levantine Arabic(excl. other Arabic dialects),Afro-Asiatic,Semitic,51 million,2 million,54 million
Bhojpuri,Indo-European,Indo-Aryan,53 million,<1 million,53 million
Min Nan Chinese(incl. Hokkien),Sino-Tibetan,Sinitic,51 million,<1 million,51 million
